Name	Type	DatabaseType	GUID
ArmorClass	SmartAttributeDefinition	SmartAttributeDefinition	2e72b18e707f6e746a101fa1884c98b3
AttacksNumber	SmartAttributeDefinition	SmartAttributeDefinition	173fbcc9678129b4c80a79651ed28292
ChannelDivinityNumber	SmartAttributeDefinition	SmartAttributeDefinition	bf0386a2fe0d6fd459ed25c585bdbc03
CharacterLevel	SmartAttributeDefinition	SmartAttributeDefinition	9aa61c2483b7d9f41aa96fbd39166a67
Charisma	SmartAttributeDefinition	SmartAttributeDefinition	0d47d229f716d814ca00fa0f974dac1d
Constitution	SmartAttributeDefinition	SmartAttributeDefinition	700ec36ec174667448c2caf90f6a7b8f
CriticalThreshold	SmartAttributeDefinition	SmartAttributeDefinition	d69397fd334370642b9d01ed7b67d41b
Dexterity	SmartAttributeDefinition	SmartAttributeDefinition	81c4589c5bf411f4eb126389f41c9e2f
Experience	SmartAttributeDefinition	SmartAttributeDefinition	c8485d1fe6a9af64ba52edcc29b88dab
HealingPool	SmartAttributeDefinition	SmartAttributeDefinition	ccab3b7dd98f68345a8a839b6ab80539
HitPointBonusPerLevel	SmartAttributeDefinition	SmartAttributeDefinition	4f3ed19e8663b4141bebcbfdb47a8ab1
HitPoints	SmartAttributeDefinition	SmartAttributeDefinition	e0d28f97ff803d64385547af3247df6e
Initiative	SmartAttributeDefinition	SmartAttributeDefinition	12cb85fa23cfd9f4c91eaea284a32f7c
Intelligence	SmartAttributeDefinition	SmartAttributeDefinition	b82ba808ed8ac7a4c8604ecbfd380b9a
ItemCharges	SmartAttributeDefinition	SmartAttributeDefinition	cacc877d0f6c245488a667910125a6e1
ItemFunctionRemainingDuration	SmartAttributeDefinition	SmartAttributeDefinition	69b302def058c5a4d88953b61f45731e
ItemFunctionRemainingIterations	SmartAttributeDefinition	SmartAttributeDefinition	d6bb17e5f45a23c49a9c7b4acc651235
ItemRemainingDuration	SmartAttributeDefinition	SmartAttributeDefinition	8ab63643af345474fae5c0306b741e69
ItemSpellbookPages	SmartAttributeDefinition	SmartAttributeDefinition	db722956e6ffbed4387b207ce55521d6
ItemStackCount	SmartAttributeDefinition	SmartAttributeDefinition	55148c91cdd4b6e4f8dab6e8ac352332
